produkt_id,produkt,wariant_id,pozycja,szerokosc_od_mm,szerokosc_do_mm,wysokosc_od_mm,wysokosc_do_mm,minimalna_glebokosc_mm,wykonczenie,cena_brutto_pln,zrodlo_selly
6350,Roleta meblowa pionowa na wymiar zawijana na górze szafki z systemem C3 - DOCINAMY NA WYMIAR,688,34,496,620,626,830,300,Biały RAL 9010,1099,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6350
6350,Roleta meblowa pionowa na wymiar zawijana na górze szafki z systemem C3 - DOCINAMY NA WYMIAR,689,35,496,620,831,1050,300,Aluminium decor,1150,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6350
6350,Roleta meblowa pionowa na wymiar zawijana na górze szafki z systemem C3 - DOCINAMY NA WYMIAR,690,36,496,620,831,1050,300,Biały RAL 9010,1150,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6350
6350,Roleta meblowa pionowa na wymiar zawijana na górze szafki z systemem C3 - DOCINAMY NA WYMIAR,691,37,496,620,1051,1240,300,Aluminium decor,1212,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6350
6350,Roleta meblowa pionowa na wymiar zawijana na górze szafki z systemem C3 - DOCINAMY NA WYMIAR,692,38,496,620,1051,1240,300,Biały RAL 9010,1212,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6350
6350,Roleta meblowa pionowa na wymiar zawijana na górze szafki z systemem C3 - DOCINAMY NA WYMIAR,693,39,496,620,1241,1400,300,Aluminium decor,1303,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6350
6350,Roleta meblowa pionowa na wymiar zawijana na górze szafki z systemem C3 - DOCINAMY NA WYMIAR,694,40,496,620,1241,1400,300,Biały RAL 9010,1303,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6350
6350,Roleta meblowa pionowa na wymiar zawijana na górze szafki z systemem C3 - DOCINAMY NA WYMIAR,695,41,496,620,1401,1600,300,Aluminium decor,1370,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6350
6350,Roleta meblowa pionowa na wymiar zawijana na górze szafki z systemem C3 - DOCINAMY NA WYMIAR,696,42,496,620,1401,1600,300,Biały RAL 9010,1370,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6350
6350,Roleta meblowa pionowa na wymiar zawijana na górze szafki z systemem C3 - DOCINAMY NA WYMIAR,697,43,496,620,1601,1800,300,Aluminium decor,1388,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6350
6350,Roleta meblowa pionowa na wymiar zawijana na górze szafki z systemem C3 - DOCINAMY NA WYMIAR,698,44,496,620,1601,1800,300,Biały RAL 9010,1388,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6350
6350,Roleta meblowa pionowa na wymiar zawijana na górze szafki z systemem C3 - DOCINAMY NA WYMIAR,699,45,496,620,1801,2000,300,Aluminium decor,1450,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6350
6350,Roleta meblowa pionowa na wymiar zawijana na górze szafki z systemem C3 - DOCINAMY NA WYMIAR,700,46,496,620,1801,2000,300,Biały RAL 9010,1450,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6350
6350,Roleta meblowa pionowa na wymiar zawijana na górze szafki z systemem C3 - DOCINAMY NA WYMIAR,701,47,496,620,350,625,300,Aluminium decor,1030,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6350
6350,Roleta meblowa pionowa na wymiar zawijana na górze szafki z systemem C3 - DOCINAMY NA WYMIAR,702,48,496,620,350,625,300,Biały RAL 9010,1030,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6350
6350,Roleta meblowa pionowa na wymiar zawijana na górze szafki z systemem C3 - DOCINAMY NA WYMIAR,703,49,621,825,626,830,300,Aluminium decor,1229,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6350
6350,Roleta meblowa pionowa na wymiar zawijana na górze szafki z systemem C3 - DOCINAMY NA WYMIAR,704,50,621,825,626,830,300,Biały RAL 9010,1229,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6350
6350,Roleta meblowa pionowa na wymiar zawijana na górze szafki z systemem C3 - DOCINAMY NA WYMIAR,705,51,621,825,831,1050,300,Aluminium decor,1303,https://www.intago.com.pl/adm/?a=produkty.produktWarianty&produkt=6350
